ageInfo,baseInfo,price,time,title
芒果不动产 - 王长禄 王长禄 1年 芒果不动产 58同城认证商家;;,3室2厅2卫;;138.46㎡;;南北;;低层(共12层);;府苑名都;;－;;沈河;;－;;奉天街318号;;距离2号线金融中心地铁站425米;;,138万 9966元/㎡;;,今天;;,品质小区 府苑名都 小面积户型 看房方便;;
瑞家地产 - 任鹏 任鹏 1年 瑞家地产 58同城认证商家;;,4室2厅2卫;;167㎡;;南北;;低层(共25层);;华润奉天九里;;－;;浑南新区;;－;;长青南街2号;;,320万 19161元/㎡;;,今天;;,双学驱 双地铁口 诚心出售 标准户型 南北通透;;
独立经纪人 - 赵丹 赵丹 1年 独立经纪人 58同城认证商家;;,4室2厅2卫;;147㎡;;南北;;共4层;;五彩新村;;－;;于洪;;－;;白山路12号;;距离2号线陵西地铁站893米;;,75万 5102元/㎡;;,今天;;,急售 陵西地铁旁 五彩新村 四室两厅两卫147平;;
经纪人 - 刘家辛 刘家辛 1年 58同城认证商家;;,3室2厅2卫;;143.92㎡;;南北;;高层(共26层);;碧桂园太阳城;;－;;沈北新区;;－;;蒲河路41-1号;;距离2号线蒲河路地铁站1331米;;,120万 8337元/㎡;;,今天;;,沈北太 阳城，三室豪华装修，送车位送物业费送家电;;
经纪人 - 刘家辛 刘家辛 1年 58同城认证商家;;,1室1厅1卫;;43.3㎡;;南;;高层(共18层);;江南甲第(二期);;－;;沈北新区;;－;;道义二街18号;;距离2号线航空航天大学地铁站704米;;,42万 9699元/㎡;;,今天;;,江南甲地一室精装修，航天大学地铁站旁，投 资的快;;
中联房管家 - 王强 王强 2年 中联房管家 58同城认证商家;;,1室1厅1卫;;41.44㎡;;西南;;高层(共16层);;富海铭尊;;－;;铁西;;－;;保工北街16号;;,35万 8445元/㎡;;,今天;;,保工街 香域蓝山旁 富海铭尊 婚装一居 赠家具家;;
九七不动产 - 王海燕 王海燕 1年 九七不动产 58同城认证商家;;,2室2厅1卫;;91.17㎡;;南北;;中层(共6层);;香醇波尔多鸿苑;;－;;苏家屯;;－;;雪莲街43号;;,56万 6142元/㎡;;,今天;;,香醇波尔多 现房洋房 91平56万 南北通透 清;;
晟鑫不动产 - 于莹 于莹 1年 晟鑫不动产 58同城认证商家;;,2室1厅1卫;;78㎡;;南北;;低层(共6层);;龙盛家园;;－;;浑南新区;;－;;白塔街124号;;,53万 6794元/㎡;;,今天;;,浑南白塔堡 龙盛家园 中间楼层 精装修 拎包;;
唯信房产 - 谢雨浓 谢雨浓 1年 唯信房产 58同城认证商家;;,1室1厅1卫;;45㎡;;南;;中层(共35层);;华强商业金融中心;;－;;沈河;;－;;青年大街236号;;距离2号线青年公园地铁站93米;;,75万 16666元/㎡;;,今天;;,金廊华强KING保上七中文化路 双地铁（特价）找;;
瑞家地产 - 孟祥佳 孟祥佳 1年 瑞家地产 58同城认证商家;;,"3室2厅2卫;;109㎡;;南;;高层(共34层);;碧桂园珑悦;;－;;大东;;－;;联合路,近东陶路;;",110万 10091元/㎡;;,今天;;,东北大马路 无税 碧桂园珑悦109平110万 超;;
芒果不动产 - 张艺谋 张艺谋 1年 芒果不动产 58同城认证商家;;,2室1厅1卫;;80㎡;;南北;;中层(共32层);;红豆杉温泉花园;;－;;沈北新区;;－;;蒲河路22号;;距离2号线蒲河路地铁站406米;;,50万 6250元/㎡;;,今天;;,地铁口 精装修 温泉花园 准现房 积家购物中心;;
铭家房产 - 梁振台 梁振台 1年 铭家房产 58同城认证商家;;,3室2厅2卫;;113㎡;;南北;;中层(共34层);;东远国纪花园;;－;;大东;;－;;小津桥路42号;;距离1号线东中街地铁站432米;;,140万 12389元/㎡;;,今天;;,大东区 东中街 东远国纪花园 豪装 带车位 小区;;
中联房管家 - 王旭 王旭 1年 中联房管家 58同城认证商家;;,1室1厅1卫;;40.16㎡;;南;;低层(共16层);;富海铭尊;;－;;铁西;;－;;保工北街16号;;,35万 8715元/㎡;;,今天;;,保工街 富海铭尊精装修 投 资过度 星摩尔月租1;;
芒果不动产 - 刘洪清 刘洪清 1年 芒果不动产 58同城认证商家;;,2室1厅1卫;;72㎡;;南北;;中层(共6层);;意大利风情小镇;;－;;于洪;;－;;广业西路11号;;,65万 9027元/㎡;;,今天;;,72平83平高品质精装修南北标户赠送家具家电装饰;;
瑞家地产 - 张子怀 张子怀 1年 瑞家地产 58同城认证商家;;,2室2厅1卫;;94.61㎡;;南北;;中层(共33层);;崇山华府;;－;;皇姑;;－;;崇山西路12-1号;;,138万 14586元/㎡;;,今天;;,虹桥中学 一环旁 崇山华府 南北通透 临双地铁口;;
晟鑫不动产 - 王迎旭 王迎旭 1年 晟鑫不动产 58同城认证商家;;,2室2厅1卫;;87㎡;;南北;;中层(共34层);;月星中央公园;;－;;浑南新区;;－;;沈中大街3号;;距离2号线白塔河路地铁站658米;;,73.9万 8494元/㎡;;,今天;;,急售，现有地铁口800米，三轻轨，南北通透，2室;;
瑞家地产 - 李晓佳 李晓佳 3年 瑞家地产 58同城认证商家;;,2室2厅1卫;;118㎡;;南北;;低层(共7层);;鸿基园;;－;;大东;;－;;中学堂路3号;;距离1号线东中街地铁站1002米;;,110万 9322元/㎡;;,今天;;,鸿基园 多层二楼 不把山不临街 紧邻学校 性价比;;
芒果不动产 - 王岩 王岩 1年 芒果不动产 58同城认证商家;;,3室2厅1卫;;118㎡;;南北;;中层(共31层);;金地名京北区;;－;;铁西;;－;;保工北街3号;;,185万 15677元/㎡;;,今天;;,源没水分，金地名京北区南北通透3室超值;;
圣昂地产 - 刘春香 刘春香 1年 圣昂地产 58同城认证商家;;,2室1厅1卫;;86㎡;;南北;;共5层;;和泰馨城;;－;;于洪;;－;;沈大路160号;;距离1号线于洪广场地铁站1294米;;,56万 6511元/㎡;;,今天;;,于洪广场 中港城 永安嘉苑 标准两室 特色景观;;
帮你选不动产 - 莫文强 莫文强 1年 帮你选不动产 58同城认证商家;;,2室2厅1卫;;92.1㎡;;南北;;中层(共33层);;华府丹郡;;－;;苏家屯;;－;;南京南街1009号;;,75万 8143元/㎡;;,今天;;,华府丹郡豪华装修92平南北通透;;
桔子不动产 - 李吉 李吉 -1年 桔子不动产 58同城认证商家;;,1室1厅1卫;;49.45㎡;;南;;低层(共6层);;和泰馨城;;－;;于洪;;－;;沈大路160号;;距离1号线于洪广场地铁站1294米;;,27万 5460元/㎡;;,今天;;,和泰二期。2楼单间，价格少议，楼下公交站;;
独立经纪人 - 王爱昆 王爱昆 1年 独立经纪人 58同城认证商家;;,2室1厅1卫;;64.74㎡;;南;;中层(共22层);;中金启城;;－;;大东;;－;;东陵路3-1号;;距离1号线黎明广场地铁站1420米;;,56万 8649元/㎡;;,今天;;,双 七中 朝阳一校 离地铁一号线步行十分钟;;
芒果不动产 - 范天龙 范天龙 1年 芒果不动产 58同城认证商家;;,2室2厅1卫;;86㎡;;南北;;低层(共23层);;万科紫台;;－;;皇姑;;－;;黄河北大街69号;;距离2号线三台子地铁站876米;;,120万 13953元/㎡;;,今天;;,黄河大街万科 精装修没住过 户型刚刚的 干净立正;;
芒果不动产 - 范天龙 范天龙 1年 芒果不动产 58同城认证商家;;,3室2厅2卫;;180㎡;;南北;;低层(共6层);;中粮隆玺世家;;－;;皇姑;;－;;黄河北大街52号;;距离2号线陵西地铁站180米;;,510万 28333元/㎡;;,今天;;,北陵地铁中粮洋房2楼 豪华装修 送地下负一负二有;;
经纪人 - 孙丽 孙丽 1年 58同城认证商家;;,2室1厅1卫;;100㎡;;南北;;共5层;;皇第龙邸;;－;;沈北新区;;－;;蒲河北路8号;;,58万 5800元/㎡;;,今天;;,位置好 家电齐全 二室一厅 精装 看房方;;
芒果不动产 - 王喆 王喆 1年 芒果不动产 58同城认证商家;;,2室2厅1卫;;96㎡;;南北;;中层(共11层);;国奥新城;;－;;沈北新区;;－;;蒲田路12号;;,45万 4687元/㎡;;,今天;;,莆田路地铁口 沈北国奥新城 新北站核心 精装现房;;
阿凡提中介 - 赵晶 赵晶 1年 阿凡提中介 58同城认证商家;;,4室3厅2卫;;167㎡;;南北;;共5层;;金地名悦;;－;;和平;;－;;长白二街;;,460万 27544元/㎡;;,今天;;,长白岛 金地名悦洋房一楼 4室2卫 此园区里就一;;
森众志诚 - 翁兴达 翁兴达 1年 森众志诚 58同城认证商家;;,1室1厅1卫;;54㎡;;西南;;中层(共29层);;地王国际花园;;－;;沈河;;－;;文艺路19号;;距离2号线工业展览馆地铁站611米;;,115万 21296元/㎡;;,今天;;,地王国际花园 精装落户一室 七中文化路双學区 无;;
连越房产 - 刘正鹏 刘正鹏 4年 连越房产 58同城认证商家;;,2室2厅1卫;;151.41㎡;;东南;;高层(共35层);;宏发长岛(一期);;－;;铁西;;－;;沈辽西路23号;;,100万 6604元/㎡;;,今天;;,宏发长岛 万达广场 瑞士风情小镇旁 楼层好 家具;;
阿凡提中介 - 姚娜 姚娜 1年 阿凡提中介 58同城认证商家;;,2室1厅1卫;;74㎡;;南北;;低层(共17层);;阳光书香园;;－;;沈北新区;;－;;蒲昌路27号;;距离2号线师范大学地铁站1221米;;,48万 6486元/㎡;;,今天;;,阳光书香园 豪华装修 两室一厅 赠送南北露台 7;;
瑞家地产 - 陈浩 陈浩 3年 瑞家地产 58同城认证商家;;,1室1厅1卫;;61㎡;;南;;中层(共26层);;华润紫云府一期;;－;;皇姑;;－;;鸭绿江东街7号;;,70万 11475元/㎡;;,今天;;,华润紫云府 南向户型 不把山 清水随意装修单价;;
21世纪不动产 - 赵闯 赵闯 1年 21世纪不动产 58同城认证商家;;,2室2厅1卫;;90㎡;;南北;;高层(共30层);;美的城;;－;;于洪;;－;;滨江街60号;;,65万 7222元/㎡;;,今天;;,丁香湖 地铁旁 美的城 新房团购 一成首付 欲;;
圣昂地产 - 刘春香 刘春香 1年 圣昂地产 58同城认证商家;;,2室1厅1卫;;51.37㎡;;南;;中层(共6层);;和泰馨城7区;;－;;于洪;;－;;洪汇路15号;;距离1号线于洪广场地铁站1347米;;,29万 5645元/㎡;;,今天;;,和泰馨城七区 双阳户型 抵帐房 性价比高 仅有;;
独立经纪人 - 贾月 贾月 1年 独立经纪人 58同城认证商家;;,3室2厅2卫;;119.0㎡;;南北;;低层(共34层);;碧桂园太阳城;;－;;沈北新区;;－;;蒲河路41-1号;;距离2号线蒲河路地铁站1331米;;,65万 5462元/㎡;;,今天;;,沈北碧桂园太阳 城 一梯一户电梯 新品加推 河景;;
